Scammer
Fraud
Frauding
Frod
scammer
Scam
Мошенник
мошенники
Скам
Скамер
Выманивает данные карты
В бан
Кидало
Кидалово
Мразь
Кардер
Кардер!
Кардер🤬
Кидок
Взял деньги и пропал
Взял 200$ и пропал
Перевел 250$ а он пропал
Украл 500$
Своровал 400$
Ворюга
Развод
разводила
Разводила!
